taxon_name,genome_size,plant_height,plant_tolerance_soil_salinity,resprouting_capacity_proportion_individuals,reproductive_maturity,seed_viability,fire_time_from_fire_to_peak_flowering,fire_time_from_fire_to_50_percent_flowering,seed_germination_time,fire_time_from_fire_to_fruiting,seedbank_longevity,ploidy,bud_bank_location,clonal_spread_mechanism,dispersal_appendage,dispersal_syndrome,dispersers,flower_colour,flowering_time,fruiting_time,leaf_phenology,life_form,life_history,nitrogen_fixing,plant_growth_form,plant_photosynthetic_organ,pollination_syndrome,pollination_system,post_fire_recruitment,resprouting_capacity,root_structure,seedbank_location,seedbank_longevity_class,serotiny,sex_type,vegetative_reproduction_ability,woodiness_detailed,leaf_type,parasitic,plant_physical_defence_structures,plant_tolerance_inundation,plant_tolerance_salt,plant_tolerance_snow,plant_tolerance_water_logged_soils,seed_dormancy_class,stem_growth_habit,woodiness,plant_growth_substrate,plant_type_by_resource_use,resprouting_capacity_non_fire_disturbance,storage_organ,plant_succulence,plant_flood_regime_classification,flowering_cues,competitive_stratum,post_fire_flowering,recruitment_time,plant_tolerance_calcicole
Asparagus virgatus,,1.15,,,,,,,,,,,,,,,,green (1); white_cream (1),yynnnnnnyyyy (1),,,,perennial (2),,herb (2); shrub (2),cladode (2),,,,,,,,,hermaphrodite (1),,herbaceous (2); semi_woody (1); woody (1),scale (1),,,,,,,,erect (1),,,,,rhizome (1),,,,,,,
Asperula conferta,,0.2,,,,,,,,,,,basal_buds (1),non_clonal (1),none (1),barochory (3); undefined (2); zoochory (2),abiotic (1); animals (1); invertebrates (1); passive (1),white_cream (2),nnnnnnnnyyyy (1); yynnnnnnyyyy (1); yyynnnnnnyyy (1),,,chamaephyte (1); geophyte (1); hemicryptophyte (1),perennial (7); short_lived_perennial (1),non_nitrogen_fixer (3),herb (8),leaf (3),insect (2),biotic_unspecialised (1),post_fire_recruitment (1); post_fire_recruitment_absent (1),fire_killed (1); resprouts (3),arbuscular_mycorrhizal (1),,long_persistent (1); persistent (1),,dioecious (4),vegetative (2),herbaceous (4); woody_base (4),,not_parasitic (1),absent (1),1-6_months (1); greater_than_6_months (1); less_than_1_month (1),halophyte_moderate (1),days (1); months (1); weeks (1),1-6_months (1); greater_than_6_months (1); less_than_1_month (1),,decumbent (2); erect (2),herbaceous (1),,,resprouts_non_fire_disturbance (1),,,,,,,,
Astroloma humifusum,,0.52,,,,,,,,,,,basal_buds (1); basal_stem_buds (2),non_clonal (2),none (1),endozoochory (9),birds (1); vertebrates (2),white_cream (1),nnnnnnnnnnnn (1); nyyyyynnnnnn (1); yyyyyyynnnnn (1); yyyyyyyyyyyy (1),,,chamaephyte (1); phanerophyte (3),perennial (8),non_nitrogen_fixer (4),shrub (9); subshrub (2),leaf (3),bird (1); insect (2),biotic_unspecialised (1),post_fire_recruitment (2); post_fire_recruitment_absent (1),resprouts (6),arbuscular_mycorrhizal (1); ectomycorrhizal (1); ericoid_mycorrhizal (2),soil_seedbank (1),long_persistent (1); persistent (1),,hermaphrodite (2); monoecious (1),not_vegetative (4),woody (4),,not_parasitic (1),sharp_pointed_defence (1),not_applicable (1),glycophyte (1),days (1),not_applicable (1),morphophysiological_dormancy (1),decumbent (3); erect (1); mat-forming (2); prostrate (3); sprawling (1),woody (2),,,,lignotuber (1),,,,,,,
Atriplex prostrata,,0.57,,,,,,,,,,,,,,undefined (1),,,,,,therophyte (1),annual (8),non_nitrogen_fixer (1),herb (7),leaf (4),,,,fire_killed (2),non_mycorrhizal (1),soil_seedbank (1),,,monoecious (5),not_vegetative (1),herbaceous (6),,,,,,,,,decumbent (2); erect (3); prostrate (3),,,,,,,,,,,,
Auranticarpa rhombifolia,,28.25,,,,,,,,,,,,,,endozoochory (3); zoochory (1),animals (1); birds (2),white_cream (2),yynnnnnnnyyy (1); yynnnnnnyyyy (1); yyynnnnnnyyn (2),nyyyyynnnnnn (1),evergreen (2),,perennial (3),non_nitrogen_fixer (2),shrub (1); tree (9),leaf (2),insect (2),,,fire_killed (2),,,transient (2),,monoecious (1),not_vegetative (2),woody (3),,not_parasitic (2),absent (2),not_applicable (2),glycophyte (2),not_applicable (2),not_applicable (2),,climbing (1),,,,resprouts_non_fire_disturbance (2),,,,,,,,
Austrostipa ramosissima,,2.25,,,,,,,,,,,,belowground_clonal (1),none (1),epizoochory (3),mammals (2),red_brown (1); white_cream (1),nnnnnnnnnnnn (1); yyyyyyyyyyyy (2),yynnnnnnnnny (1),,hemicryptophyte (1),perennial (3),non_nitrogen_fixer (2),graminoid (3); herb (3); tussock (4),leaf (3),abiotic (2); wind (1),,,,non_mycorrhizal (1),,persistent (2),,hermaphrodite (1),not_vegetative (2); vegetative (2),herbaceous (4),,not_parasitic (2),absent (2),not_applicable (2),salinity_tolerance_undefined (2),days (2),not_applicable (2),physiological_dormancy (1),caespitose (1); rhizomatous (1),,,,,rhizome (2),,,,,,,
Austrostipa rudis,,0.98,,,,,,,,,,,,,bristles (1),barochory (1); epizoochory (3); myrmecochory (1),ants (1); mammals (2),red_brown (1); white_cream (1),ynnnnnnnnnyy (2),,,,perennial (5),non_nitrogen_fixer (2),graminoid (4); herb (4); tussock (3),leaf (3),abiotic (2),,post_fire_recruitment (1),resprouts (4),,,long_persistent (1); persistent (2),,hermaphrodite (2); monoecious (1),not_vegetative (2),herbaceous (4),,not_parasitic (2),absent (2),less_than_1_month (2),glycophyte (2),days (2),less_than_1_month (2),,caespitose (1); erect (1); rhizomatous (1),herbaceous (1),,,resprouts_non_fire_disturbance (2),rhizome (1),,,,,,,
Austrostipa setacea,,0.75,,,,,,,,,,,basal_buds (1),non_clonal (1),,epizoochory (4); zoochory (1),abiotic (1); animals (1); mammals (2),,nnnnnnnnnnnn (1); nnnnnnnnnyyy (2); yyyyyyyyyyyy (1),,,hemicryptophyte (2),perennial (4),non_nitrogen_fixer (3),graminoid (4); herb (5); tussock (3),leaf (4),abiotic (2); self (1); wind (1),abiotic (1),,resprouts (1),arbuscular_mycorrhizal (1),soil_seedbank (1),persistent (3),,hermaphrodite (1),not_vegetative (3),herbaceous (4),,not_parasitic (2),absent (2),not_applicable (2),halophyte_moderate (2),not_applicable (2),not_applicable (2),,caespitose (1); erect (1),,,,,,,,,,,,
Avicennia marina,,10.34,80,,,,,,,,,,,,,hydrochory (3),water (2),white_cream (1); yellow_orange (1),nnnnnnnnnnnn (1); nnyyyyyynnnn (1); nyyynnnnnnnn (1); ynnnnnnnnyyy (1); yyynnnnnnnyy (1); yyynnnnnnyyy (1),yyynnnnnnnnn (1),evergreen (2),,perennial (7),non_nitrogen_fixer (2),shrub (7); tree (11),leaf (4),insect (2),,,,,,transient (1),,hermaphrodite (1),not_vegetative (1),woody (5),broadleaf (1),not_parasitic (1),absent (1),,halophyte (1); hydrohalophyte (1),not_applicable (1),1-6_months (1); greater_than_6_months (1); less_than_1_month (1),,erect (1); spreading (1),woody (1),,hydrohalophyte (1),,,,,,,,,
Axonopus fissifolius,,0.44,,,,,,,,,,,rhizome (1); stolon (1),aboveground_clonal (1),none (1),anemochory (1); barochory (1),wind (1),,yynnnnnnnyyy (1),yyyyynnnnnny (1),,hemicryptophyte (1),perennial (9),,graminoid (7); herb (4); tussock (2),leaf (2),wind (1),,,resprouts (3),non_mycorrhizal (1),,,,hermaphrodite (1),vegetative (2),herbaceous (7),,,,,,,,,decumbent (1); dense (1); mat-forming (2); rhizomatous (4); stoloniferous (5),,,,,rhizome (4),,,,,,,
Bidens pilosa,,0.79,,,,,,,,,,,none (2),,,,birds (1),white_cream (1),nnnnnnnnnynn (1); nnnnnnnnyynn (1); nnnynnnnnnnn (2); ynnnnnnnnnnn (1); yyyyynnnnnny (1); yyyyyyyyyyyn (1),yyyyyyyyyyyn (1); yyyyyyyyyyyy (1),,,annual (6),,herb (10); shrub (1),leaf (5),,,,fire_killed (5),arbuscular_mycorrhizal (1),,,,,not_vegetative (1),herbaceous (6); woody (1),,,,,,,,non_dormant (1),erect (2),,,,,,,,,,,,
Bolboschoenus caldwellii,,0.95,,,,,,,,,,,,rhizome (1),none (1),barochory (1); endozoochory (3); hydrochory (1); zoochory (1),abiotic (1); animals (1); birds (3); vertebrates (1); water (1),red_brown (2); yellow_orange (2),yynnnnnnyyyy (3); yyynnnnyyyyy (1),,,hemicryptophyte (1),perennial (7),non_nitrogen_fixer (3),graminoid (5); graminoid_not_tussock (2); herb (6),,insect (1); vertebrate (2); wind (1),abiotic (1),,resprouts (4),arbuscular_mycorrhizal (1),,persistent (2),,hermaphrodite (2); monoecious (1),vegetative (2),herbaceous (5),,not_parasitic (2),absent (2),1-6_months (2); greater_than_6_months (2); less_than_1_month (2),halophyte_moderate (2),not_applicable (2),,,rhizomatous (3),herbaceous (1),,,resprouts_non_fire_disturbance (2),rhizome (3); rhizome_fleshy (1),,,,,,,
Bossiaea buxifolia,,0.5,,,,,,,,,,,basal_stem_buds (1),,aril (1),zoochory (1),invertebrates (1),blue_purple (1); yellow_orange (1),nnnnnnnnnyyn (1); nnnnnnnyynnn (2); yynnnnnnyyyy (1),,,,perennial (3),nitrogen_fixer (1),shrub (5),leaf (2),insect (1),,post_fire_recruitment (1),resprouts (2),,,persistent (1),,hermaphrodite (1),vegetative (1),woody (3),,not_parasitic (1),absent (1),not_applicable (1),salinity_tolerance_undefined (1),days (1); weeks (1),not_applicable (1),physical_dormancy (1),erect (2); mat-forming (1); prostrate (2),woody (1),,,resprouts_non_fire_disturbance (1),,,,,,,,
Bossiaea prostrata,,0.85,,,,,,,,,,,basal_buds (1); basal_stem_buds (1),non_clonal (1),none (1),barochory (1); myrmecochory (3); undefined (1); zoochory (1),ants (2); invertebrates (1); passive (1),blue_purple (1); pink (1); red_brown (1); yellow_orange (1),nnnnnnnnyynn (2); nnnnnnnnyyyn (1),,,chamaephyte (3),perennial (4); short_lived_perennial (1),nitrogen_fixer (2),climber (1); shrub (4); subshrub (5),leaf (3),insect (2),biotic_unspecialised (1),post_fire_recruitment (1),fire_killed (1); resprouts (2),,soil_seedbank (2),long_persistent (1); persistent (2),,hermaphrodite (2); monoecious (1),not_vegetative (3),woody (2); woody_root (1),,not_parasitic (1),absent (1),not_applicable (1),glycophyte (1),days (1); weeks (1),not_applicable (1),physical_dormancy (1),prostrate (4),woody (2),,,,,,,,,,,
Bothriochloa decipiens,,1.26,,,,,,,,,,,,,none (1),anemochory (1); epizoochory (1),mammals (1),,yynnnnnnnnny (1); yyyynnnnnnny (1),,,hemicryptophyte (1),perennial (4),non_nitrogen_fixer (1),graminoid (4); graminoid_not_tussock (1); herb (2); tussock (1),leaf (1),abiotic (1); wind (1),,,resprouts (1),non_mycorrhizal (1),,persistent (1),,andromonoecious (1); hermaphrodite (1),not_vegetative (1); vegetative (1),herbaceous (3),,not_parasitic (1),absent (1),less_than_1_month (1),halophyte_moderate (1),not_applicable (1),less_than_1_month (1),,caespitose (1),,,,resprouts_non_fire_disturbance (1),no_storage_organ (1),,,,,,,
Bothriochloa macra,,0.87,,0.87,,0.38,,,,,,,basal_buds (1); bud-bearing_root (1),rhizome (1),none (1),anemochory (1); epizoochory (3); zoochory (1),mammals (1); wind (1),white_cream (1),yynnnnnnnnny (2); yyyynnnnnnny (1),,,hemicryptophyte (3),perennial (6),non_nitrogen_fixer (3),graminoid (4); graminoid_not_tussock (1); herb (5); tussock (1),leaf (3),abiotic (1); self (1); wind (2),abiotic (1),post_fire_recruitment (1); post_fire_recruitment_absent (1),partial_resprouting (15); resprouts (7),arbuscular_mycorrhizal (1); non_mycorrhizal (1),,long_persistent (1); persistent (1),,andromonoecious (1); hermaphrodite (1),not_vegetative (1); vegetative (1),herbaceous (4),,not_parasitic (1),absent (1),less_than_1_month (1),halophyte_moderate (1),days (1),less_than_1_month (1),,caespitose (1); decumbent (2); erect (1); rhizomatous (2),,,,resprouts_non_fire_disturbance (1),rhizome (1),,,,,,,
Brachychiton acerifolius,,33.33,,,,,,,,,,,,non_clonal (1),fleshy_reward (1),anemochory (1); endozoochory (1); zoochory (1),animals (1); birds (1); flying_vertebrates (1); wind (1),,ynnnnnnnnnny (1); ynnnnnnnyyyy (1),yyyyyynnnnnn (1),deciduous (2),phanerophyte (1),perennial (3),non_nitrogen_fixer (1),tree (8),leaf (1),bee (1),,,resprouts (1),mycorrhizal (1),,,not_serotinous (1),monoecious (3),,woody (2),,,absent (1),,,,,,,,,,,,,,,,,,
Brachychiton populneus,,16.67,,,,,,,,,,,basal_buds (2); epicormic_buds (1); none (1),,,endozoochory (1); epizoochory (1),birds (1); vertebrates (1),white_cream (1),nnnnnnnnnyyy (1); ynnnnnnnnnyy (1); ynnnnnnnnyyy (1),nnnnnnyyyynn (1),evergreen (2),,perennial (5),non_nitrogen_fixer (1),tree (10),leaf (1),bird (1); insect (2),,post_fire_recruitment (1); post_fire_recruitment_absent (2),fire_killed (1); resprouts (5),,,transient (1),not_serotinous (1),monoecious (2),not_vegetative (2),woody (4),,not_parasitic (1),absent (1),less_than_1_month (1),glycophyte (1),days (1),less_than_1_month (1),,,woody (1),,,resprouts_non_fire_disturbance (1),,,,,,,,
Brassica fruticulosa,,0.5,,,,,,,,,,,,,,,,white_cream (1); yellow_orange (1),nnnnyyynnnnn (1); nnnynnnnnnnn (1); nynnnnynnnnn (1); ynnnnnnnyyyy (1),nnyyyyyyyyyn (1),,,biennial (5); perennial (5),,herb (6),leaf (3),,,,fire_killed (2),,,,,,not_vegetative (1),herbaceous (5); woody_base (2),,,,,,,,,erect (2),,,,,,,,,,,,
Brassica rapa,,1,,,,,,,,,,,,,,,,yellow_orange (3),,,,,annual (7); biennial (6),non_nitrogen_fixer (1),herb (7),leaf (4),,,,fire_killed (1),non_mycorrhizal (1),soil_seedbank (1),,,,,herbaceous (6),,,,,,,,,erect (1),,,,,root_tuber (3),,,,,,,
Breynia oblongifolia,,4.9,,,,,,,,,,,basal_buds (1); basal_stem_buds (3),,elaiosome (1); fleshy_reward (1),endozoochory (3); myrmecochory (2); zoochory (1),ants (1); birds (3); vertebrates (1),green (1),nnnnnnnnnyyy (1); nnnnnnnnyyyy (1); yyyyyynnnnnn (1),yynnnnnnnyyy (1); yyyyynnnnnny (1); yyyyyynnnnnn (1),evergreen (3),,perennial (3),non_nitrogen_fixer (2),shrub (12); tree (2),leaf (2),insect (1),,post_fire_recruitment_absent (2),fire_killed (2); resprouts (5),,soil_seedbank (1),persistent (2),not_serotinous (1),monoecious (3),not_vegetative (1); vegetative (1),woody (3),broadleaf (1),not_parasitic (1),absent (1),not_applicable (1),salinity_tolerance_undefined (1),not_applicable (1),not_applicable (1),non_dormant (1),,,,,,,,,,,,,
Briza maxima,,0.5,,,0.5,,,,,,,,,,,,,blue_purple (1); red_brown (1),nnnnnnnnyyyn (1); nnnnnnnyyynn (1),,,therophyte (2),annual (11),non_nitrogen_fixer (3),graminoid (9); herb (6),leaf (6),,,post_fire_recruitment (2),fire_killed (6),arbuscular_mycorrhizal (3),soil_seedbank (2),transient (1); widely_dispersed (1),,,,herbaceous (8),,not_parasitic (1),absent (1),,,,,,caespitose (1); erect (1),,,,,,,,,,,,
Briza minor,,0.46,,,0.5,,,,,,,,,,none (1),anemochory (2),,blue_purple (1); green (1),nnnnnnnnyyyn (1); nnnnnnnyyynn (1),,,therophyte (3),annual (12),non_nitrogen_fixer (2),graminoid (8); herb (6); tussock (2),leaf (6),wind (1),,post_fire_recruitment (3),fire_killed (6),arbuscular_mycorrhizal (3),soil_seedbank (2),transient (1); widely_dispersed (1),,hermaphrodite (1),not_vegetative (2),herbaceous (8),,not_parasitic (1),absent (1),,,,,,erect (1),,,,,,,terrestrial_dry (1),,,,,
Bromus catharticus,,0.91,,,,,,,,,,,,,,,,,nnnnnnnnyyyn (1),nnnnnnnnyyyn (1),,,annual (6); biennial (2); perennial (3); short_lived_perennial (2),,graminoid (8); herb (6),leaf (6),,,,resprouts (1),non_mycorrhizal (1),,,,hermaphrodite (1),not_vegetative (1),herbaceous (8),,,,,,,,,caespitose (3); erect (1),,,,,,,,,,,,
Brunoniella australis,,0.14,,,,,,,,,,,basal_buds (1); fleshy_underground_organ (2),,,barochory (3),,blue_purple (3),nnnnnnnnnyyn (1); nnnnnnnnnyyy (1); ynnnnnnnnnyy (1); ynnnnnnnnyyy (1); yynnnnnnnnny (1); yyyyyynnyyyy (2),,,,perennial (2),non_nitrogen_fixer (1),herb (9),leaf (1),insect (1),,,resprouts (4),,,transient (1),,hermaphrodite (1),not_vegetative (1),herbaceous (3),broadleaf (1),not_parasitic (1),absent (1),less_than_1_month (1),salinity_tolerance_undefined (1),not_applicable (1),less_than_1_month (1),,decumbent (1); erect (1); prostrate (1),,,,resprouts_non_fire_disturbance (1),stem_tuber (2),,,,,,,
Brunoniella pumilio,,0.05,,,,,12,,,,,,basal_buds (1),,,barochory (1),,blue_purple (1),yyyyyynnnyyy (3),,,,perennial (2),non_nitrogen_fixer (1),herb (4),leaf (2),insect (1),,post_fire_recruitment (1),resprouts (3),,soil_seedbank (1),persistent (1); transient (1),,hermaphrodite (1),not_vegetative (1),herbaceous (2),broadleaf (1),not_parasitic (1),absent (1),less_than_1_month (1),salinity_tolerance_undefined (1),not_applicable (1),less_than_1_month (1),,decumbent (1); prostrate (1),,,,resprouts_non_fire_disturbance (1),stem_tuber (1),,,,,,,
Bryophyllum delagoense,,1.25,,,,,,,,,,,,,,,,pink (1); red_brown (1); yellow_orange (1),nnnnnnnnyynn (1); nnnnnynnnnnn (1),,,,perennial (4),,herb (4),leaf (2),,,,,,,,,,,herbaceous (4),,,,,,,,,erect (1),,,,,,,,,,,,
Bryophyllum pinnatum,,1.15,,,,,,,,,,,,,,,,red_brown (1),nnnnnnnnnynn (1),,,,perennial (2),,shrub (2),leaf (1),,,,,,,,,,,woody (2),,,,,,,,,prostrate (1),,,,,,,,,,,,
Bursaria spinosa,,7.5,,0.75,,,60,,,,,,basal_buds (1); basal_stem_buds (2),,,anemochory (4); hydrochory (1),birds (1); water (1); wind (2),white_cream (1),nnnnnnnnnnyy (1); yynnnnnnnnny (2); yyyynnnnnnnn (1); yyyynnnnnnyy (1),nnnnnyyynnnn (1); yyyyyyyynnnn (1),evergreen (3),,perennial (6),non_nitrogen_fixer (1),shrub (13); tree (7),leaf (4),insect (2),,post_fire_recruitment_absent (1),resprouts (7),,,transient (1),not_serotinous (1),hermaphrodite (3); monoecious (1),not_vegetative (2),woody (5),,not_parasitic (1),sharp_pointed_defence (1),less_than_1_month (1),salt_spray_tolerant (1),days (1); weeks (1),less_than_1_month (1),non_dormant (1),,woody (2),,,resprouts_non_fire_disturbance (1),lignotuber (1),,,,,,,
Caesia parviflora,,0.4,,,,,,9.77,,,,,fleshy_underground_organ (1); stem_tuber (1),stem_tuber (1),elaiosome (1),barochory (1); myrmecochory (4); zoochory (1),ants (2); invertebrates (1); passive (1),blue_purple (1); green (1); white_cream (1),nnnnnnnnnynn (1); nnnnnnnnnyyy (1); nnnnnnnnyyyn (2); yynnnnnnyyyy (2),,,chamaephyte (1); geophyte (2),perennial (7),non_nitrogen_fixer (2),herb (8); tussock (1),leaf (4),insect (2),biotic_unspecialised (1),post_fire_recruitment_absent (1),resprouts (6),arbuscular_mycorrhizal (1); non_mycorrhizal (1),,transient (2),,hermaphrodite (2); monoecious (1),not_vegetative (1),herbaceous (5),,not_parasitic (1),absent (1),less_than_1_month (1),glycophyte (1),days (1),1-6_months (1); less_than_1_month (1),,,herbaceous (1),,,resprouts_non_fire_disturbance (1),rhizome (2); root_tuber (3),,,,,,,
Callistemon citrinus,,2.35,,,,,,,9,,,,basal_buds (1); basal_stem_buds (1); epicormic_buds (1),,,anemochory (1),wind (1),blue_purple (1); red_brown (1),nnnnnnnnnnyy (3); nnyyynnnnyyy (1),,,,perennial (4),non_nitrogen_fixer (1),shrub (8),leaf (2),insect (1); vertebrate (1),,post_fire_recruitment (1),resprouts (6),,canopy_seedbank (1),transient (1),,hermaphrodite (1),not_vegetative (2),woody (4),,not_parasitic (1),absent (1),less_than_1_month (1),salinity_tolerance_undefined (1),days (1),1-6_months (1); less_than_1_month (1),non_dormant (2),erect (3),woody (1),,,resprouts_non_fire_disturbance (1),,,,,,,,
Callistemon salignus,,7,,,,,,,,,,,basal_buds (1); epicormic_buds (1),,,,,white_cream (1); yellow_orange (1),nnnnnnnnnynn (1); nnnnnnnnyynn (2); nnnnnnnnyyyn (2); nnnnynnnnnnn (1); nnnynnnnnnnn (1),,evergreen (1),,perennial (3),non_nitrogen_fixer (1),shrub (4); tree (5),leaf (2),,,post_fire_recruitment (1),resprouts (2),,canopy_seedbank (1),short_persistent (1),,hermaphrodite (1),not_vegetative (1),woody (3),broadleaf (1),,,,,,,non_dormant (2),,,,,,,,,,,,,
Callistemon viminalis,,12.67,,,,,,,,,,,basal_stem_buds (1),,,,,red_brown (1),nnnnnnnnnynn (2); nnnnnnnnyynn (1); nnnnnnnnyyyy (1); ynnnnnnnnnnn (1); yynnnyyyyyyy (1),nyyyyyyyyynn (1),evergreen (1),,perennial (3),,shrub (4); tree (6),leaf (2),,,post_fire_recruitment (1),resprouts (1),,,,,hermaphrodite (2),,woody (3),,,,,,,,non_dormant (1),,,,,,,,,,,,,
Calotis cuneata,,0.3,,,,,,,,,,,,,,epizoochory (2),mammals (2),white_cream (1),ynnnnnyyyyyy (1); yyyyyyynnnnn (1),,,,perennial (2),non_nitrogen_fixer (2),herb (4),leaf (1),insect (2),,,resprouts (2),,,persistent (2),,gynomonoecious (1),vegetative (2),herbaceous (2),,not_parasitic (2),absent (2),less_than_1_month (1); not_applicable (1),halophyte_moderate (1); salinity_tolerance_undefined (1),days (1); not_applicable (1),1-6_months (1); less_than_1_month (1); not_applicable (1),,stoloniferous (1),,,,resprouts_non_fire_disturbance (2),,,,,,,,
Calotis cuneifolia,,0.52,,,,,,,,,,,,,spines (1),anemochory (1); epizoochory (1); zoochory (2),mammals (1); vertebrates (1); wind (1),blue_purple (1); white_cream (1),nnnnnnnnnynn (2); nnnnnnnnyyyn (2); nnnnynnnnnnn (1); nnnynnnnnnnn (1); ynnnnnnnyyyy (1); yyyyyyyyyyyy (1),,,,biennial (1); perennial (6),non_nitrogen_fixer (2),herb (13),leaf (3),insect (2),,,fire_killed (2); resprouts (1),,,transient (1),,gynomonoecious (1),not_vegetative (1),herbaceous (4); woody_base (2),,not_parasitic (1),absent (1),less_than_1_month (1),halophyte_moderate (1),not_applicable (1),1-6_months (1); less_than_1_month (1),non_dormant (1); physiological_dormancy (1),decumbent (1); erect (2); prostrate (2),,,,resprouts_non_fire_disturbance (1),no_storage_organ (1),not_succulent (1),,,,,,
Calotis lappulacea,,0.43,,,,,,,,,,,,,spines (1),anemochory (1); epizoochory (1); zoochory (2),mammals (1); vertebrates (1); wind (1),yellow_orange (1),nnnnnnnnnnnn (1); nnnnnnnnnynn (1); nnnnynnnnnnn (1); nnnnyynnnnnn (1); nnnynnnnnnnn (1); yynnnnnnyyyy (1); yyyyyyyyyyyy (2),,,,perennial (6),non_nitrogen_fixer (1),herb (11); shrub (2); subshrub (1),leaf (3),insect (2),,,fire_killed (1); resprouts (2),,,persistent (1),,gynomonoecious (1),not_vegetative (1),herbaceous (5); woody (1); woody_base (1),,not_parasitic (1),absent (1),less_than_1_month (1),halophyte_moderate (1),days (1),less_than_1_month (1),,erect (2),,,,,storage_organ (1),,,,,,,
Capsella bursa-pastoris,,0.28,,,,,,,,,,,,,,,,white_cream (1),nnnnnnnnnynn (1); nnnnnnnnyynn (1); nnnnnyyyynnn (1); ynnnnnnnnnnn (1),,,,annual (7),,herb (8),leaf (4),,,,fire_killed (3),,,,,,,herbaceous (6),,,,,,,,,erect (5); rosette (4),,,,,no_storage_organ (1),,,,,,,
Cardiospermum grandiflorum,,10,,,,,,,,,,,,,,,,white_cream (1),nnnnnnyynnnn (1); nnnynnnnnnnn (1); nnyyynnnnnnn (1); nynnnnnnnnnn (1),nnyyyyyynnnn (1); yynnnnnnnnny (1),evergreen (1),,perennial (1),,climber (1); climber_herbaceous (6),leaf (2),,,,resprouts (1),,,,,monoecious (2),vegetative (1),herbaceous (4),,,,,,,,,climbing (1),,,,,,,,,,,,
Carex breviculmis,,0.47,,,,,,,,,,,basal_buds (2),belowground_clonal (1); rhizome (1),none (2),barochory (2); hydrochory (1); myrmecochory (1); undefined (1); zoochory (1),ants (1); invertebrates (1); water (1),green (1); red_brown (1); white_cream (1); yellow_orange (1),nnnnnnnnnynn (2); nnnyyyynnnnn (1); yynnnnnnyyyy (2),,,geophyte (1); hemicryptophyte (4),perennial (9),non_nitrogen_fixer (2),graminoid (6); herb (5); tussock (3),,insect (1); vertebrate (1); wind (1),biotic_unspecialised (1),post_fire_recruitment (1); post_fire_recruitment_absent (2),fire_killed (2); resprouts (2),non_mycorrhizal (1),soil_seedbank (2),long_persistent (1); persistent (2),,hermaphrodite (1); monoecious (3),not_vegetative (3); vegetative (1),herbaceous (4),,not_parasitic (1),absent (1),less_than_1_month (1),glycophyte (1),days (1); months (1); weeks (1),less_than_1_month (1),,,herbaceous (1),,,resprouts_non_fire_disturbance (1),rhizome (2),,,,,,,
Carex inversa,,0.59,,,,,,,,,,,,belowground_clonal (1); rhizome (2),none (2),barochory (3); hydrochory (1); myrmecochory (1); undefined (1); zoochory (5),ants (1); invertebrates (5); water (1),green (1); red_brown (1); white_cream (1); yellow_orange (1),nnnnnnnnnnny (1); nnnnnnnnnnyn (1); nnnnnnnnyynn (1); nnnyynnnnnnn (1); yynnnnnnyyyy (1); yyyynnnnyyyy (5); yyyyynnnyyyy (1),,,geophyte (2); hemicryptophyte (5),perennial (12),non_nitrogen_fixer (7),graminoid (7); herb (9); tussock (6),,insect (1); vertebrate (5); wind (2),biotic_unspecialised (1),,resprouts (9),non_mycorrhizal (2),soil_seedbank_absent (1),persistent (5),,hermaphrodite (1); monoecious (4),not_vegetative (5); vegetative (5),herbaceous (6),,not_parasitic (5),absent (5),less_than_1_month (5),glycophyte (4); salinity_tolerance_undefined (1),days (4); months (1); not_applicable (1); weeks (2),1-6_months (5); less_than_1_month (5),,rhizomatous (2),herbaceous (1),,,resprouts_non_fire_disturbance (5),rhizome (4),,terrestrial_dry (1),,,,,
Casuarina glauca,,13.25,56,,,,,,,,,,basal_buds (1); epicormic_buds (2),,wings (1),anemochory (4); hydrochory (1),water (1); wind (2),,nnnnnnnnynnn (2); nnnnyyyynnnn (1),yyyyyyyyyyyy (1),evergreen (3),phanerophyte (1),perennial (7),nitrogen_fixer (2),shrub (1); tree (11),cladode (3),abiotic (1),,post_fire_recruitment_absent (1),fire_killed (1); resprouts (4),ectomycorrhizal (1),canopy_seedbank (1),transient (1),,dioecious (3),not_vegetative (1); vegetative (2),woody (6),broadleaf (1); scale (1),not_parasitic (1),absent (1),less_than_1_month (1),halophyte_moderate (1),not_applicable (1),1-6_months (1); less_than_1_month (1),non_dormant (1),,,,psammophile (1),,,,,,,,,
Cenchrus clandestinus,,0.5,,,,,,,,,,,rhizome (2); stolon (1),,,,,,yynnnnnnnnny (2),,,,perennial (7),,graminoid (4); herb (5),leaf (3),,,,resprouts (5),,,,,andromonoecious (1),vegetative (1),herbaceous (6),,,,,,,,,rhizomatous (4); stoloniferous (4),,,,,rhizome (5),,,,,,,
Centaurium tenuiflorum,,0.32,,,,,,,,,,,,,,,,pink (1),nnnnnnnnnnny (1); nnnnnnnnnyyn (1); ynnnnnnnnnnn (1); ynnnyyynnnyy (1); yynnnnnnyyyy (1),,,,annual (6),,herb (7),cladode (1); leaf (5),,,post_fire_recruitment (1),fire_killed (2),arbuscular_mycorrhizal (1),,transient (1),,hermaphrodite (1),,herbaceous (7),,not_parasitic (1),absent (1),,,,,,erect (3); rosette (3),,,,,,,,,,,,
